accountType|accountNumber|seniorAccountNumber|invoice_no|bill_date|debit|credit
A2|42544907|42544906|871284159|2017-06-11|0|0
A3|42544908|42544907|871284161|2017-06-11|0|0
A2|42327082|42327081|832156187|2017-04-28|0|0
A2|42327082|42327081|858704877|2017-05-28|0|0
A2|42545041|42545039|809341310|2017-04-11|0|0
A2|42545041|42545039|841542366|2017-05-11|0|0
A2|42545041|42545039|871284175|2017-06-11|0|0
A3|42545043|42545041|871284182|2017-06-11|0|0
A2|41270635|41270634|826662549|2017-04-18|0|0
A2|41270635|41270634|849038810|2017-05-18|0|0
A2|43332946|43332944|832630866|2017-04-30|0|0
A2|43332946|43332944|860672306|2017-05-30|0|0
A3|42545190|42545189|871284235|2017-06-11|0|0
A2|42545189|42545188|809341348|2017-04-11|0|0
A2|42545189|42545188|841542445|2017-05-11|0|0
A2|42545189|42545188|871284230|2017-06-11|0|0
A2|42545205|42545204|809341358|2017-04-11|0|0
A2|42545205|42545204|841542455|2017-05-11|0|0
A2|42545205|42545204|871284242|2017-06-11|0|0
A3|42545207|42545205|871284248|2017-06-11|0|0
A2|43169288|43169287|827489575|2017-04-19|0|0
A2|43169288|43169287|849966258|2017-05-19|0|0
A2|42545303|42545302|809341368|2017-04-11|0|0
A2|42545303|42545302|841542469|2017-05-11|0|0
A2|42545303|42545302|871284256|2017-06-11|0|0
A2|41271088|41271087|826662660|2017-04-18|0|0
A2|41271088|41271087|849038976|2017-05-18|0|0
A3|42545304|42545303|871284261|2017-06-11|0|0
A2|43169512|43169511|827489585|2017-04-19|0|0
A2|43169512|43169511|849966266|2017-05-19|0|0
A2|44069615|44069614|818475070|2017-04-15|0|0
A2|44069615|44069614|846515297|2017-05-15|0|0
A2|43169744|43169742|827489635|2017-04-19|0|0
A2|43169744|43169742|849966317|2017-05-19|0|0
A3|44071244|44071243|867713786|2017-06-06|5.95|5.95
A3|44071244|44071243|867714346|2017-06-06|5.95|5.95
A3|44071244|44071243|867715578|2017-06-06|5.95|5.95
